Reporting_Airline,Total_Flights,Cancelled_Flights,Cancellation_Rate
AS,17775,3119.0,0.17547116736990154
UA,58855,4714.0,0.08009514909523405
OH,16526,944.0,0.0571221106135786
YX,22914,1061.0,0.046303569869948505
MQ,20750,932.0,0.04491566265060241
OO,56814,2384.0,0.041961488365543705
9E,16972,706.0,0.04159792599575772
WN,115389,3566.0,0.03090415897529227
G4,8596,193.0,0.022452303396928806
F9,14379,311.0,0.021628764169970095
B6,19580,334.0,0.017058222676200205
AA,77346,1248.0,0.016135288185555815
NK,20415,303.0,0.014842027920646584
HA,6576,96.0,0.014598540145985401
DL,74384,478.0,0.006426113142611314
